title,overview,genres,emotion,link
Cinderella,"When her father unexpectedly passes away, young Ella finds herself at the mercy of her cruel stepmother and her daughters. Never one to give up hope, Ella's fortunes begin to change after meeting a dashing stranger in the woods.","['Drama', 'Romance', 'Family']",hopeful,https://www.themoviedb.org/movie/150689
The Karate Kid Part II,"Summoned by his dying father, Miyagi returns to his homeland of Okinawa, with Daniel, after a 40-year exile. There he must confront Yukie, the love of his youth, and Sato, his former best friend turned vengeful rival. Sato is bent on a fight to the death, even if it means the destruction of their village. Daniel finds his own love in Yukia's niece, Kumiko, and his own enemy in Sato's nephew, the vicious Chozen. Now, far away from the tournaments, cheering crowds and safety of home, Daniel will face his greatest challenge ever when the cost of honor is life itself.","['Drama', 'Romance', 'Family']",hopeful,https://www.themoviedb.org/movie/8856
Spirit: Stallion of the Cimarron,A captured mustang remains determined to return to his herd no matter what.,"['Drama', 'Romance', 'Family']",hopeful,https://www.themoviedb.org/movie/9023
Love Don't Co$t a Thing,A high school outcast pays a cheerleader to pose as his girlfriend so he can be considered cool.,"['Drama', 'Romance', 'Family']",hopeful,https://www.themoviedb.org/movie/21542
The Princess Diaries 2: Royal Engagement,"Mia Thermopolis is now a college graduate and on her way to Genovia to take up her duties as princess. Accompanied by her friend Lilly, Mia continues her 'princess lessons', like riding horses side-saddle and archery. But her already complicated life is turned upside down once again when she learns that she is to take the crown as queen earlier than expected, all while she meets a mysteriously charming young man.","['Drama', 'Romance', 'Family']",hopeful,https://www.themoviedb.org/movie/11130
The Sound of Music,"In the years before the Second World War, a tomboyish postulant at an Austrian abbey is hired as a governess in the home of a widowed naval captain with seven children, and brings a new love of life and music into the home.","['Drama', 'Romance', 'Family']",hopeful,https://www.themoviedb.org/movie/15121
Big,When a young boy makes a wish at a carnival machine to be big—he wakes up the following morning to find that it has been granted and his body has grown older overnight. But he is still the same 13-year-old boy inside. Now he must learn how to cope with the unfamiliar world of grown-ups including getting a job and having his first romantic encounter with a woman.,"['Drama', 'Romance', 'Family']",hopeful,https://www.themoviedb.org/movie/2280
The Man in the Moon,"Maureen Trant and her younger sibling Dani share a strong connection, but local boy Court Foster threatens to throw their bond off balance. Dani and Court meet first and have a flirtatious rapport -- but when he meets Maureen, he falls hard and they begin a passionate affair. The new couple try to keep their love hidden from Dani, but she soon learns the truth, disavowing her sister. But a heartbreaking accident later reunites the girls.","['Drama', 'Romance', 'Family']",hopeful,https://www.themoviedb.org/movie/17474
RV,"Climbing aboard their mammoth recreational vehicle for a cross-country road trip to the Colorado Rockies, the Munro family – led by dysfunctional patriarch, Bob – prepares for the adventure of a lifetime. But spending two weeks together in one seriously small space has a way of cramping their style.","['Drama', 'Romance', 'Family']",hopeful,https://www.themoviedb.org/movie/9530
High School Musical,A popular high school athlete and an academically gifted girl get roles in the school musical and develop a friendship that threatens East High's social order.,"['Drama', 'Romance', 'Family']",hopeful,https://www.themoviedb.org/movie/10947
The Ultimate Gift,"When his wealthy grandfather finally dies, Jason Stevens fully expects to benefit when it comes to the reading of the will. But instead of a sizable inheritance, Jason receives a test, a series of tasks he must complete before he can get any money.","['Drama', 'Romance', 'Family']",hopeful,https://www.themoviedb.org/movie/14624
What a Girl Wants,"An American girl, Daphne, heads to Europe in search of the father she's never met. But instead of finding a British version of her bohemian mother, she learns the love of her mom's life is an uptight politician. The only problem now is that her long-lost dad is engaged to a fiercely territorial social climber with a daughter who makes Daphne's life miserable.","['Drama', 'Romance', 'Family']",hopeful,https://www.themoviedb.org/movie/10735
My Wife's Sister,"Ji-seon is living with her sister and her husband after a divorce. Her sister Ji-yeong leaves for a work trip and Ji-seon is at home all alone with her brother-in-law. The two can't hide their sexual passion and they cross the line. Every time Ji-yeong leaves, the two enjoy risky sex...","['Drama', 'Romance', 'Family']",hopeful,https://www.themoviedb.org/movie/430384
Just My Luck,"Manhattanite Ashley is known to many as the luckiest woman around. After a chance encounter with a down-and-out young man, however, she realizes that she's swapped her fortune for his.","['Drama', 'Romance', 'Family']",hopeful,https://www.themoviedb.org/movie/10025
First Daughter,"Samantha MacKenzie, the daughter of the president of the United States, arrives at college with a group of Secret Service agents. Samantha, however, resents their presence and decides she wants to attend school just like a normal student. Her father agrees to recall the agents but secretly assigns James, an undercover agent, to pose as a student.","['Drama', 'Romance', 'Family']",hopeful,https://www.themoviedb.org/movie/13969
