title,authors,category,description,link,emotion
The Self Help Addict,Daniel Gefen,Self-Help,"Break free from the self-help cycle and join the world of successful leaders. IN THIS GAME CHANGING BOOK YOU WILL LEARN: - How self doubt, procrastination and indecision create a cycle of self-help addiction - Why people invest in self-help books, courses, events and come out still feeling unaccomplished - How you can make your fears your friend and achieve anything your heart desires - The importance of always taking responsibility for what happens in your life - How much abundance there is in this world and that there is enough money, love and happiness for everyone to have a lifetime supply - How to go from a consumer to a creator - The art of taking action, because without action nothing gets done - How to become accountable so you avoid putting things off - The power of decisiveness and how to avoid feeling overwhelmed - The secret to getting high and staying high (without drugs) - Why you have already won - How the real hero, that you have searched so long and hard for, is you.",https://play.google.com/store/books/details?id=iWpRDwAAQBAJ&source=gbs_api,hopeful
The No-Self Help Book,Kate Gustin,Self-Help,"It’s time to get over your self! Written by a clinical psychologist and student of Eastern philosophy, this handy little guide offers a radical solution to anyone struggling with self-doubt, self-esteem, and self-defeating thoughts: “no-self help.” By breaking free of your own self-limiting beliefs, you’ll discover your infinite potential. There is an insidious, global identity theft occurring that has robbed people of their very recognition of their true selves. The culprit—indeed the mastermind of this crisis—has committed the inside job of creating and promoting the idea that we are all a separate self, which is the chief source of our daily distress and dissatisfaction. No more than a narrative of personhood pieced together from disparate neural activations, the self we believe ourselves to be in our own minds—although quite capable of being affirming, inspiring, and constructive—often spews forth a distressing flow of worry and second-guessing, blaming and shaming, regret and guilt. This book offers an antidote to this epidemic of stolen identity, isolation, and self-deprecation: no-self (a concept known in Buddhist philosophy as anatta or anatman). The No-Self Help Book turns the idea of self-improvement on its head, arguing that the key to well-being lies not in the relentless pursuit of bettering one’s self but in the recognition of the self as a false identity born in the mind. Rather than identifying with a small, relative sense of self, this book encourages you to embrace a liberating alternative—an expansive awareness that is flexible and open to experiencing life as an ongoing and ever-changing process, without attachment to personal outcomes or storylines. To help you make this leap from self to no-self, the book provides forty bite-sized chapters full of clever and inspiring insights based in positive psychology and non-duality—a philosophy that asserts there is no real separation between any of us. So, if you’re tired of “self-help” and you’re ready to explore who you are beyond the self, let The No-Self Help Book be your guide.",https://play.google.com/store/books/details?id=zeFiDwAAQBAJ&source=gbs_api,hopeful
Self-help,Samuel Smiles,Conduct of life,Carl J. Martinson collection.,https://play.google.com/store/books/details?id=qUAzAQAAMAAJ&source=gbs_api,hopeful
Unposted Letter (English),Mahatria Ra,Self-Help,"‘Unposted Letters’ by Mahtria Ra is one of those books that aims to transcend all religions and castes, and touch the core of the readers in a profound way irrespective of their social position, status and the likes. ‘Unposted Letters’ is a spiritual and inspirational book that urges the readers to find happiness in every small things and feel the presence of God Almighty everywhere. By illustrating the simple with the powerful, this is a book that deals with knowledge and enlightenment and talks about Life as it is, about how it should be led that is bereft of any jealousy and wrath. Published by Manjul Publishing House, this book is available in hardcover.",https://play.google.com/store/books/details?id=aJXUDwAAQBAJ&source=gbs_api,hopeful
Pocket Full of Do,Chris Do,Unknown,No description,http://books.google.co.in/books?id=e260zQEACAAJ&dq=self-help&hl=&source=gbs_api,hopeful
"Self-Help, Inc.",Micki McGee,Psychology,Why doesn't self-help help? Micki McGee explores the demand for self-help & what it tells us about ourselves.,http://books.google.co.in/books?id=VWySQi_gA8oC&dq=self-help&hl=&source=gbs_api,hopeful
How To Win Friends And Influence People,Dale Carnegie,Self-Help,"Dale Carnegie's seminal work 'How To Win Friends And Influence People' is a classic in the field of self-improvement and interpersonal relations. Written in a conversational and easy-to-follow style, the book provides practical advice on how to navigate social interactions, build successful relationships, and effectively influence others. Carnegie's insights, rooted in psychology and human behavior, are presented in a series of principles that are applicable in both personal and professional settings. The book's timeless wisdom transcends its original publication date and remains relevant in the modern world. Carnegie's emphasis on listening, empathy, and sincere appreciation resonates with readers seeking to enhance their communication skills. Dale Carnegie, a renowned self-help author and public speaker, drew inspiration for 'How To Win Friends And Influence People' from his own experiences in dealing with people from various walks of life. His genuine interest in understanding human nature and fostering positive connections led him to develop the principles outlined in the book. Carnegie's background in psychology and education informed his approach to addressing common social challenges and offering practical solutions for personal growth. I highly recommend 'How To Win Friends And Influence People' to anyone looking to enhance their social skills, improve communication techniques, and cultivate meaningful relationships. Carnegie's timeless advice is a valuable resource for individuals seeking to navigate the complexities of interpersonal dynamics and achieve success in both personal and professional endeavors.",http://books.google.co.in/books?id=u_dyEAAAQBAJ&dq=self-help&hl=&source=gbs_api,hopeful
The Self-Help Compulsion,Beth Blum,Literary Criticism,"Samuel Beckett as a guru for business executives? James Joyce as a guide to living a good life? The notion of notoriously experimental authors sharing a shelf with self-help books might seem far-fetched, yet a hidden history of rivalry, influence, and imitation links these two worlds. In The Self-Help Compulsion, Beth Blum reveals the profound entanglement of modern literature and commercial advice from the late nineteenth century to the present day. Blum explores popular reading practices in which people turn to literature in search of practical advice alongside modern writers’ rebukes of such instrumental purposes. As literary authors positioned themselves in opposition to people like Samuel Smiles and Dale Carnegie, readers turned to self-help for the promises of mobility, agency, and practical use that serious literature was reluctant to supply. Blum unearths a series of unlikely cases of the love-hate relationship between serious fiction and commercial advice, from Gustave Flaubert’s mockery of early DIY culture to Dear Abby’s cutting diagnoses of Nathanael West and from Virginia Woolf’s ambivalent polemics against self-improvement to the ways that contemporary global authors such as Mohsin Hamid and Tash Aw explicitly draw on the self-help genre. She also traces the self-help industry’s tendency to popularize, quote, and adapt literary wisdom and considers what it might have to teach today’s university. Offering a new history of self-help’s origins, appeal, and cultural and literary import around the world, this book reveals that self-help’s most valuable secrets are not about getting rich or winning friends but about how and why people read.",https://play.google.com/store/books/details?id=8dGXDwAAQBAJ&source=gbs_api,hopeful
"Weight, Sex, and Marriage","Richard B. Stuart, Barbara Jacobson",Psychology,"Reveals the intricate connection between weight problems and marital satisfaction in women, and describes the often hidden rewards of being overweight. Clearly delineating the issues surrounding weight gain, this encouraging book helps readers set attainable weight goals and also offers concrete strategies for success.",http://books.google.co.in/books?id=1OvS59vR6r0C&dq=self-help&hl=&source=gbs_api,hopeful
Self-help Groups and Rural Development,S. Bose,Self-Help,Introduction SHGs and Development: The Scenario SHGs and Micro credit and Micro finance Global Analysis of Self-Help Groups Detailed Analysis of SHG in Tamilnadu Self-Help Group and its Members Role of SHGs in Social Transformation Summary of Major Analysis Promotion of Self-Help Groups Bibliography Index,https://play.google.com/store/books/details?id=hNCbDwAAQBAJ&source=gbs_api,hopeful
